"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW"
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2020-12-26",,,"0.05",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2020-12-28",,,"0.51",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2020-12-29",,,"0.12",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-01-23",,,"0.31",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-01-24",,,"0.08",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-01-25",,,"0.65","1.0"
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-01-26",,,"0.39","2.0"
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-01-27",,,"0.02",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-01-28",,,"0.24",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-01-29",,,"1.14",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-01-30",,,"0.28",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-02-12",,,"0.56",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-02-14",,,"0.36",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-02-16",,,"0.03",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-03-10",,,"0.32",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-03-11",,,"1.47","3.0"
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-03-12",,,"0.11",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-03-15",,,"0.34",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-03-16",,,"0.20",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-03-19",,,"0.02",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-03-20",,,"0.87",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-04-26",,,"0.22",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-04-27",,,"0.02",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-10-09",,,"0.21",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-10-18",,,"0.32",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-10-23",,,"0.05",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-10-25",,,"0.49",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-10-26",,,"2.36",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-11-09",,,"0.26",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-11-10",,,"0.12",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-12-09",,,"0.53",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-12-10",,,"0.65",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-12-14",,,"1.37",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-12-15",,,"1.27",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2021-12-17",,,"0.25",
