"STATION","NAME","DATE","PRCP","SNWD"
"USS0011J42S","SNOWBIRD, UT US","2018-09-19","0.10","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-09-20","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-09-21","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-09-22","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-09-23","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-09-24","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-09-25","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-09-26","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-09-27","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-09-28","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-09-29","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-09-30","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-10-01","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-10-02","1.00","1.0"
"USS0011J42S","SNOWBIRD, UT US","2018-10-03","0.70","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-10-04","1.20","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-10-05","0.60","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-10-06","0.20","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-10-07","0.40","5.0"
"USS0011J42S","SNOWBIRD, UT US","2018-10-08","0.30","4.0"
"USS0011J42S","SNOWBIRD, UT US","2018-10-09","0.70","9.0"
"USS0011J42S","SNOWBIRD, UT US","2018-10-10","0.90","14.0"
"USS0011J42S","SNOWBIRD, UT US","2018-10-11","0.00","12.0"
"USS0011J42S","SNOWBIRD, UT US","2018-10-12","0.00","10.0"
"USS0011J42S","SNOWBIRD, UT US","2018-10-13","0.00","10.0"
"USS0011J42S","SNOWBIRD, UT US","2018-10-14","0.00","9.0"
"USS0011J42S","SNOWBIRD, UT US","2018-10-15","0.00","9.0"
"USS0011J42S","SNOWBIRD, UT US","2018-10-16","0.00","8.0"
"USS0011J42S","SNOWBIRD, UT US","2018-10-17","0.00","7.0"
"USS0011J42S","SNOWBIRD, UT US","2018-10-18","0.00","7.0"
"USS0011J42S","SNOWBIRD, UT US","2018-10-19","0.00","7.0"
"USS0011J42S","SNOWBIRD, UT US","2018-10-20","0.10","5.0"
"USS0011J42S","SNOWBIRD, UT US","2018-10-21","0.00","4.0"
"USS0011J42S","SNOWBIRD, UT US","2018-10-22","0.20","4.0"
"USS0011J42S","SNOWBIRD, UT US","2018-10-23","0.10","4.0"
"USS0011J42S","SNOWBIRD, UT US","2018-10-24","0.10","3.0"
"USS0011J42S","SNOWBIRD, UT US","2018-10-25","0.00","4.0"
"USS0011J42S","SNOWBIRD, UT US","2018-10-26","0.00","3.0"
"USS0011J42S","SNOWBIRD, UT US","2018-10-27","0.00","3.0"
"USS0011J42S","SNOWBIRD, UT US","2018-10-28","0.00","2.0"
"USS0011J42S","SNOWBIRD, UT US","2018-10-29","0.00","2.0"
"USS0011J42S","SNOWBIRD, UT US","2018-10-30","0.20","3.0"
"USS0011J42S","SNOWBIRD, UT US","2018-10-31","0.10","3.0"
"USS0011J42S","SNOWBIRD, UT US","2018-11-01","0.40","5.0"
"USS0011J42S","SNOWBIRD, UT US","2018-11-02","0.30","4.0"
"USS0011J42S","SNOWBIRD, UT US","2018-11-03","0.10","5.0"
"USS0011J42S","SNOWBIRD, UT US","2018-11-04","0.20","6.0"
"USS0011J42S","SNOWBIRD, UT US","2018-11-05","0.00","5.0"
"USS0011J42S","SNOWBIRD, UT US","2018-11-06","0.00","5.0"
"USS0011J42S","SNOWBIRD, UT US","2018-11-07","0.00","5.0"
"USS0011J42S","SNOWBIRD, UT US","2018-11-08","0.00","5.0"
"USS0011J42S","SNOWBIRD, UT US","2018-11-09","0.00","5.0"
"USS0011J42S","SNOWBIRD, UT US","2018-11-10","0.00","5.0"
"USS0011J42S","SNOWBIRD, UT US","2018-11-11","0.20","7.0"
"USS0011J42S","SNOWBIRD, UT US","2018-11-12","0.00","7.0"
"USS0011J42S","SNOWBIRD, UT US","2018-11-13","0.10","8.0"
"USS0011J42S","SNOWBIRD, UT US","2018-11-14","0.00","7.0"
"USS0011J42S","SNOWBIRD, UT US","2018-11-15","0.00","7.0"
"USS0011J42S","SNOWBIRD, UT US","2018-11-16","0.00","7.0"
"USS0011J42S","SNOWBIRD, UT US","2018-11-17","0.10","8.0"
"USS0011J42S","SNOWBIRD, UT US","2018-11-18","0.00","8.0"
"USS0011J42S","SNOWBIRD, UT US","2018-11-19","0.00","7.0"
"USS0011J42S","SNOWBIRD, UT US","2018-11-20","0.00","7.0"
"USS0011J42S","SNOWBIRD, UT US","2018-11-21","0.00","7.0"
"USS0011J42S","SNOWBIRD, UT US","2018-11-22","0.40","12.0"
"USS0011J42S","SNOWBIRD, UT US","2018-11-23","0.50","15.0"
"USS0011J42S","SNOWBIRD, UT US","2018-11-24","1.00","22.0"
"USS0011J42S","SNOWBIRD, UT US","2018-11-25","0.00","20.0"
"USS0011J42S","SNOWBIRD, UT US","2018-11-26","0.00","19.0"
"USS0011J42S","SNOWBIRD, UT US","2018-11-27","0.00","17.0"
"USS0011J42S","SNOWBIRD, UT US","2018-11-28","0.20","18.0"
"USS0011J42S","SNOWBIRD, UT US","2018-11-29","0.90","26.0"
"USS0011J42S","SNOWBIRD, UT US","2018-11-30","1.00","33.0"
"USS0011J42S","SNOWBIRD, UT US","2018-12-01","0.00","34.0"
"USS0011J42S","SNOWBIRD, UT US","2018-12-02","0.20","36.0"
"USS0011J42S","SNOWBIRD, UT US","2018-12-03","0.30","36.0"
"USS0011J42S","SNOWBIRD, UT US","2018-12-04","0.00","33.0"
"USS0011J42S","SNOWBIRD, UT US","2018-12-05","0.00","31.0"
"USS0011J42S","SNOWBIRD, UT US","2018-12-06","0.00","30.0"
"USS0011J42S","SNOWBIRD, UT US","2018-12-07","0.00","28.0"
"USS0011J42S","SNOWBIRD, UT US","2018-12-08","0.00","28.0"
"USS0011J42S","SNOWBIRD, UT US","2018-12-09","0.00","27.0"
"USS0011J42S","SNOWBIRD, UT US","2018-12-10","0.00","27.0"
"USS0011J42S","SNOWBIRD, UT US","2018-12-11","0.10","26.0"
"USS0011J42S","SNOWBIRD, UT US","2018-12-12","1.10","34.0"
"USS0011J42S","SNOWBIRD, UT US","2018-12-13","0.00","32.0"
"USS0011J42S","SNOWBIRD, UT US","2018-12-14","0.00","31.0"
"USS0011J42S","SNOWBIRD, UT US","2018-12-15","0.00","31.0"
"USS0011J42S","SNOWBIRD, UT US","2018-12-16","0.00","30.0"
"USS0011J42S","SNOWBIRD, UT US","2018-12-17","0.00","28.0"
"USS0011J42S","SNOWBIRD, UT US","2018-12-18","0.00","28.0"
