STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,lat,long,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",9/10/2021,,,0.51,0.51,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",10/9/2021,,,0.26,0.26,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",10/12/2021,,,0.09,1.5,1.5,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",10/18/2021,,,0.25,2.5,2.5,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",10/25/2021,,,1.32,0,0,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",11/9/2021,,,0.56,0,0,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",12/7/2021,,,0.04,0.04,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",12/13/2021,,,2.5,2.5,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",12/14/2021,,,1.1,12,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",12/23/2021,,,0.8,0.5,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",12/24/2021,,,1.6,9,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",12/26/2021,,,0.35,4,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",12/28/2021,,,0.45,5,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",12/30/2021,2,0.7,0,0,25,37.6198538,-118.9829602,,,,,
USC00045280,"MAMMOTH LAKES RANGER STATION, CA US",1/1/2018,,,0,0,0,37.6198538,-118.9829602,,,,,
USC00045280,"MAMMOTH LAKES RANGER STATION, CA US",1/2/2018,,,0,0,0,37.6198538,-118.9829602,,,,,
USC00045280,"MAMMOTH LAKES RANGER STATION, CA US",1/3/2018,,,0,0,0,37.6198538,-118.9829602,,,,,
USC00045280,"MAMMOTH LAKES RANGER STATION, CA US",1/4/2018,,,0,0,0,37.6198538,-118.9829602,,,,,
USC00045280,"MAMMOTH LAKES RANGER STATION, CA US",1/5/2018,,,0,0,0,37.6198538,-118.9829602,,,,,
USC00045280,"MAMMOTH LAKES RANGER STATION, CA US",1/6/2018,,,0.25,0,0,37.6198538,-118.9829602,,,,,
USC00045280,"MAMMOTH LAKES RANGER STATION, CA US",1/7/2018,,,0,0,0,37.6198538,-118.9829602,,,,,
USC00045280,"MAMMOTH LAKES RANGER STATION, CA US",1/8/2018,,,0,0,0,37.6198538,-118.9829602,,,,,
USC00045280,"MAMMOTH LAKES RANGER STATION, CA US",1/9/2018,,,0.31,2,2,37.6198538,-118.9829602,,,,,
USC00045280,"MAMMOTH LAKES RANGER STATION, CA US",1/10/2018,,,0.16,0,2,37.6198538,-118.9829602,,,,,
USC00045280,"MAMMOTH LAKES RANGER STATION, CA US",1/11/2018,,,0,0,0,37.6198538,-118.9829602,,,,,
USC00045280,"MAMMOTH LAKES RANGER STATION, CA US",1/12/2018,,,0,0,0,37.6198538,-118.9829602,,,,,
USC00045280,"MAMMOTH LAKES RANGER STATION, CA US",1/13/2018,,,0,0,0,37.6198538,-118.9829602,,,,,
USC00045280,"MAMMOTH LAKES RANGER STATION, CA US",1/14/2018,,,0,0,0,37.6198538,-118.9829602,,,,,
USC00045280,"MAMMOTH LAKES RANGER STATION, CA US",1/15/2018,,,0,0,0,37.6198538,-118.9829602,,,,,
USC00045280,"MAMMOTH LAKES RANGER STATION, CA US",1/16/2018,,,0,0,0,37.6198538,-118.9829602,,,,,
USC00045280,"MAMMOTH LAKES RANGER STATION, CA US",1/17/2018,,,0,0,0,37.6198538,-118.9829602,,,,,
USC00045280,"MAMMOTH LAKES RANGER STATION, CA US",1/18/2018,,,0,0,0,37.6198538,-118.9829602,,,,,
USC00045280,"MAMMOTH LAKES RANGER STATION, CA US",1/19/2018,,,0,0,0,37.6198538,-118.9829602,,,,,
USC00045280,"MAMMOTH LAKES RANGER STATION, CA US",1/20/2018,,,0,0,0,37.6198538,-118.9829602,,,,,
USC00045280,"MAMMOTH LAKES RANGER STATION, CA US",1/21/2018,,,0,0,0,37.6198538,-118.9829602,,,,,
USC00045280,"MAMMOTH LAKES RANGER STATION, CA US",1/22/2018,,,0,0,0,37.6198538,-118.9829602,,,,,
USC00045280,"MAMMOTH LAKES RANGER STATION, CA US",1/23/2018,,,0,0,0,37.6198538,-118.9829602,,,,,
