STATION,NAME,DATE,PRCP,SNWD,lat,long,,,,,
USS0011J42S,"SNOWBIRD, UT US",4/11/2018,0,61,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",4/12/2018,1,67,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",4/13/2018,0.9,78,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",4/14/2018,0,70,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",4/15/2018,0,68,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",4/16/2018,0,67,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",4/17/2018,0.9,77,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",4/18/2018,0,72,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",4/19/2018,0,70,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",4/20/2018,0,70,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",4/21/2018,0,67,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",4/22/2018,0,64,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",4/23/2018,0,62,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",4/24/2018,0,60,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",4/25/2018,0,58,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",4/26/2018,0,55,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",4/27/2018,0,53,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",4/28/2018,0,50,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",4/29/2018,0,48,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",4/30/2018,0.6,55,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",5/1/2018,0,52,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",5/2/2018,0.6,58,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",5/3/2018,0,54,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",5/4/2018,0,50,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",5/5/2018,0,48,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",5/6/2018,0,44,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",5/7/2018,0,41,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",5/8/2018,0,37,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",5/9/2018,0,35,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",5/10/2018,0,33,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",5/11/2018,0.7,35,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",5/12/2018,0.1,36,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",5/13/2018,0.1,32,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",5/14/2018,0.6,33,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",5/15/2018,0,31,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",5/16/2018,0,27,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",5/17/2018,0,24,40.580755,-111.657296,,,,,
